user,time,tweet,latitude,longitude
WBst4S,Thu Mar 05 03:42:00 +0000 2015,#OccupyMyFamily State of NC like GA refuses to release the Court Transcripts. *Pres Obama MUST enforce the Constitut http://t.co/zlCt8BeLnu,,
StakeCenter,Thu Mar 05 03:42:00 +0000 2015,RT @LDSagency: #CWC15#BANvSCO#SCO318/8 in 50 overs#TSMonson#LDS#WorldCup#OBAMA#MUFC#STOCK#Soccer#F4F#Football#TFB#SNRTG#FF#,,
CarmineZozzora,Thu Mar 05 03:41:59 +0000 2015,"Had Netanyahu pulled an Obama during his U.S. address, he would've apologized for Israel and articulated the glory of Islam.#tcot #PJNET",,
sgrfree51,Thu Mar 05 03:41:58 +0000 2015,RT @PoliticalLaughs: The politicians running the VA seem to have some pretty screwed up priorities.#va #veterans #obama #democrats http:/,,
LFS7,Thu Mar 05 03:41:58 +0000 2015,RT @RELawrence1: @TrucksHorsesDog @Mike_Beacham Adjust: first thing should be to repeal every executive order that Obama signed.,,
CMSgtEdDavis,Thu Mar 05 03:41:57 +0000 2015,RT @irisflower33: The power of his Pen - Obama's improper expansion of executive  power. #WakeupAmerica #ImpeachObama #tcot #PJNET http://t,,
drjudies,Thu Mar 05 03:41:56 +0000 2015,Despite  optimistic reports about  declining power Islamic State (ISIS) by President Barack Obama the Evil escalates in the middle east!,,
danielprofit,Thu Mar 05 03:41:56 +0000 2015,@DrottM @orionglimmer @blupony3 @doctoreddie @joesbooks Yes humor helps to relieve the stress Obama has created with his 8 year recession,,
HarrietBaldwin,Thu Mar 05 03:41:55 +0000 2015,"RT @FreedomBruce: The GOP caved on Obama's amnesty right out of the gate, but they're going to repeal Obamacare and field a winning POTUS c",,
dlamage,Thu Mar 05 03:41:55 +0000 2015,RT @Jerusalem_Post: Netanyahu responds to Obama: We did indeed present practical alternative to Iran deal  http://t.co/d9YF33rSbE http://t.,,
chanc3it,Thu Mar 05 03:41:55 +0000 2015,"RT @BobG231: BOOM! Ralph Peters says Obama, Dems acted like snitty bitchy high school girls after Bibi speech http://t.co/jlmOn8mxbH",,
DrReneeObey,Thu Mar 05 03:41:55 +0000 2015,RT @Numbers28: GOP has been surviving on loathing Prez Obama &amp; by pointing at problems to raise fear &amp; hatred. GOP has no workable plans fo,,
johnrogers411,Thu Mar 05 03:41:55 +0000 2015,RT @RepRichHudson: Join me to stop Obama's crusade to restrict our #2A rights! Tell @ATFHQ we oppose its misguided #ammoban #tcot #pjnet ht,,
winterthur,Thu Mar 05 03:41:54 +0000 2015,"RT @Hillary_45: @DemoFan24 @winterthur I hope so. Obama warned the Republicans, you touch it, you own it. | http://t.co/kR1cymtv96",,
Lvethelife,Thu Mar 05 03:41:54 +0000 2015,BE SURE AND WATCH THE VIDEO!!!!!... http://t.co/b63sfRGNmP,,
ActsofCourt,Thu Mar 05 03:41:54 +0000 2015,RT @ChristiChat: #NetanyahuSpeechHe pointedly refused to be intimidated by Obama#IStandWithBibi#IStandWithIsrael@rushlimbaugh http:/,,
mariaisab3lla,Thu Mar 05 03:41:53 +0000 2015,"RT @Kramanash: If opposing Netanyahu makes me anti-Israel (despite the fact that I'm Israeli myself), then republicans hating Obama are ant",,
LesterMouton1,Thu Mar 05 03:41:53 +0000 2015,RT @PatDollard: OBAMA CONFERENCE CALLS EXPOSED: President Plans To Wipe Out America With A Country Within A Country Of 15 Million http://,,
vonbeasley,Thu Mar 05 03:41:53 +0000 2015,@BuzzFeedAndrew @RobProvince // I think the real news is that CNN tried to ask her a question - something they have never done with Obama.,,
Fitz_Money,Thu Mar 05 03:41:53 +0000 2015,"GREAT RT""@thehill: Senate fails to override Obama's #KeystoneXL veto: http://t.co/HGZvBHv0Ke http://t.co/DmDUBxuP8y""",39.9800356,-75.1365732
KLSouth,Thu Mar 05 03:41:53 +0000 2015,"RT @NDAA2012: BREAKING: Trey Gowdy Announces Plan to Speed Up Deportation, DESTROY Obama's AMNESTY! - The Political Insider http://t.co/Gwt",,
SusanSt08942260,Thu Mar 05 03:41:53 +0000 2015,Rush Limbaugh Says Obama Treats Israel's Netanyahu... via @TheBlaze http://t.co/YfWjkk8AcC,,
SDKorCHOMIK,Thu Mar 05 03:41:52 +0000 2015,"Seriously if we don't have a delay tomorrow, I'll sue my school, Obama, and Canada. Maybe even Jenna.",,
